review_id,customer_id,product_id,category,review_text,rating,sentiment,polarity
33,6efb63b1-1b04-4863-bd7d-dbedd284476c,7304,Sports,Player stock religious itself safe whole establish space Mrs low itself room environmental system store beautiful think during.,4,Positive,0.31
34,ab0e664e-9c3e-42d5-91e1-aa9676f72255,9669,Clothing,From management foot maintain great election evidence other they new might course drop image new drive live.,1,Positive,0.217
35,cafda613-72bb-412d-bda6-7785b63b4dc3,2876,Home,Behavior develop reality fill ok list most international second former reflect even.,3,Positive,0.2
36,b8a6171f-1ee3-4dc4-bb04-8a8b405bfdc9,6573,Electronics,Firm sea week real course school everybody operation set others.,4,Neutral,0.0
37,31b1b099-d527-41e7-99bc-143efb02bebb,3591,Sports,Dinner conference add move ever window network.,3,Neutral,0.0
38,a34b6cf6-2053-4a42-b1af-db65b289f224,9201,Books,Bill activity expect long future whole education technology box assume man officer rather charge specific we be easy newspaper.,1,Positive,0.117
39,ca6dfda1-989b-44da-9b37-a22b6a8a616f,5889,Home,Difficult mission late kind team wrong figure perform participant science way debate decision produce church community avoid able late order fact discuss religious.,2,Neutral,-0.071
40,1238d630-743b-45a2-9c0f-2fcfb3f6fe0d,3504,Clothing,Under skin person product value interesting name positive training step author coach film see notice eye buy.,2,Positive,0.364
41,670acc5c-b321-4f21-8dd8-eb85b04d3376,9837,Home,Matter management ball always it focus economy.,5,Neutral,0.0
42,ac9ed156-f63f-4e41-ba9a-ca5e176132ed,6310,Sports,Onto again share start office several compare million kind everything.,1,Positive,0.3
43,a2814044-6f96-4882-95d8-2980ff37d19c,6947,Clothing,Why like impact fly bit claim in many production hundred set already because.,1,Positive,0.65
44,f85e06a1-1dad-49b2-92c2-1221409d3602,4946,Home,Ten stay ability thank left approach million performance material.,1,Neutral,0.0
45,341c6494-0d36-4dfc-828e-bd7071299889,8962,Electronics,Near until just recognize building win participant dream citizen nearly need behavior yeah tree left brother strategy marriage.,5,Positive,0.25
46,b495db4e-8245-4fb4-8ab7-706eb77350ca,3060,Books,Indeed lot line lead certain course out second carry attorney significant take future skin environment able.,4,Positive,0.218
47,96418ced-d664-4264-8c6e-27ffb9de7a3a,3705,Clothing,Your majority chance Mrs generation necessary myself lay focus country recently occur do simply analysis seat relate specific history professional star.,5,Neutral,0.02
48,f6febc0e-7ecd-4baf-a6f0-5fcffb16e5db,7932,Books,Call whole forward beyond suddenly between treat address century that.,2,Neutral,0.1
49,78308930-1327-41bc-a784-378ff84f16b3,6107,Sports,Full realize power system system teacher here first responsibility service their along attention piece TV young.,3,Positive,0.233
50,fa745761-6f18-4108-9723-199dbf2c14a0,8177,Home,Set region beyond coach federal ahead food argue grow issue.,1,Neutral,0.0
51,90e0a95b-697c-4923-87fa-841a3e83b91f,5061,Books,Color bad that people drive tree central.,3,Negative,-0.35
52,75a66981-4104-48b5-a34d-b7c5760debbb,1344,Home,Project together let explain national available war write federal while real lead few yourself.,2,Positive,0.133
53,3cb98350-1b4d-40fe-bbb3-8605da743152,4608,Electronics,Occur offer yeah far within probably ever not rate.,1,Neutral,0.1
54,e91e314e-0c8e-49e3-b93e-08d5bea29dfe,4750,Electronics,Seat strategy total simply discover soon despite couple economy sense.,3,Neutral,0.0
55,d69d42f1-ae4c-44ff-a8c0-1f05c478f6f1,2160,Home,Pick tough position final kid often run bed.,3,Negative,-0.194
56,6a5e6920-bf5a-47e6-93a3-dd5a4b8c5bdc,8953,Books,Customer skill theory hand maybe evening clearly trial want whose far that sound.,2,Positive,0.2
57,2408a6dc-1346-41a9-b680-2cdb77e490c7,8744,Books,Team right woman whose source hand so add Mr lawyer pull public once state wait board doctor.,4,Positive,0.143
58,f1738856-e25d-46eb-9e9a-9f83066803ee,7669,Books,Foreign particular positive play less red power bring animal also you.,1,Neutral,0.02
59,e3236d1a-3c1b-4acc-98e1-93311dba1267,8062,Clothing,Career law provide sea watch industry score choice increase between majority impact week allow have kitchen wear.,4,Neutral,0.0
60,fb1e143b-196f-4dfa-9cd8-fe1adafec8a9,8651,Electronics,Name within grow huge couple business summer lawyer production politics others again skill during call north attention share debate.,1,Positive,0.4
61,3ba5cd2f-dea4-4c19-9024-3d723748967f,1993,Sports,Similar small other everyone worker would music sometimes body term capital group small open administration enter camera inside box.,3,Negative,-0.125
62,c72c1fe3-72c2-4a16-b9eb-4168104556e5,2790,Books,Message board mean war analysis situation term miss leader who article.,2,Negative,-0.312
63,6d204496-66d0-4371-98e8-8ebb7a9e8eef,9786,Sports,Make travel available ball part assume every.,4,Positive,0.4
64,b64fa54a-8c61-4654-95da-75c1a21150f9,4006,Clothing,Herself our far measure involve soldier boy pressure there necessary tend involve thousand including still.,2,Neutral,0.05
65,18578baf-bac7-42b9-aa7e-4c3666132e69,2235,Sports,Interview professor hear check type attack story behavior benefit school speech news only no form business government program seek test.,5,Neutral,0.0
66,49a214ae-f7e8-48e5-8d2b-91efb8976ec5,2604,Electronics,Fine billion medical choice lot suggest glass news boy everything difficult investment night should perform push news participant price really ahead event several TV.,5,Neutral,0.023
67,deaf528d-2e70-4838-8190-262059dcabd0,1241,Electronics,Not husband center plan air second Democrat information game have return since nothing be apply.,2,Negative,-0.167
68,0cbd3c03-9e2a-44ac-8122-b5b3284c03d2,3724,Sports,Evening product magazine kind event sense box involve exist question.,4,Positive,0.6
69,4ef492c1-aac9-4316-86e5-27537c93f6cc,4502,Sports,Determine worker area daughter war.,2,Neutral,0.0
70,4169b9fc-c3a0-4c6f-a321-d1e1c47104c0,7209,Electronics,Foreign account section compare herself region matter street south author technology amount affect.,3,Negative,-0.125
71,5024bdc6-dcb3-4df3-93ee-cdc6ebd14d2c,8454,Clothing,Investment identify policy face if whom commercial way least ready gun join black job hundred bad that second.,5,Negative,-0.161
72,2b0abedd-c774-44cb-9543-fc3c38b8f24e,8973,Books,Member box member town glass road standard.,3,Neutral,0.0
73,1a5165ca-3c7c-4d85-a5cf-0041d0a643fe,4566,Electronics,Eight community check service away week physical less nor often race think poor.,5,Negative,-0.189
74,dd3f487e-52bd-4661-9fe0-a8c7fc8d5b93,1998,Clothing,Firm key light place someone option goal avoid left also hard.,1,Neutral,-0.018
75,dd3f7d7e-a508-4c95-93a4-a492497de16d,8811,Home,Past medical leg never social time last special prepare focus little.,2,Neutral,-0.016
76,73557b9d-0fd6-447e-b52d-4af2269ed4c9,1931,Home,Specific study word base position always.,2,Negative,-0.4
77,707df251-fdb1-429e-b010-ed13b526b22d,2122,Home,Mission city health executive impact full our smile positive at behind.,2,Positive,0.119
78,4082cbb9-48bd-4b3e-a2f5-df2badaa44ca,7615,Electronics,Their four old center glass whose recognize hot organization visit finally heavy social spend prove stock school rate money position interest gun guy.,2,Neutral,0.017
79,577bc55a-36d5-4494-b37f-d50d2e25b5ee,1651,Home,Court yourself choice fast small medical music school money product.,4,Neutral,-0.017
80,218c6e1c-9e37-4f7a-842c-bc39e05b46c5,9565,Clothing,Heavy class story side speak close join improve put down know expect security large move finally.,2,Neutral,-0.035
81,e76adca9-7811-4802-88cc-7cfecf01f944,6147,Books,Happy water worker left example high month whom stage soon.,4,Positive,0.32
82,0d5ba7cd-4000-45f0-9f7d-0dd7236e1608,3144,Clothing,Them never bill suffer surface expect several evening town challenge join watch develop later glass ago apply maybe.,3,Neutral,0.0
83,14e4180c-fe99-46a3-a2db-c8503c5bf3a7,2188,Electronics,Different five between research friend certainly although true line story serve light past town affect democratic.,5,Positive,0.143
84,ba2c0f19-f0b2-45d1-8c7e-6f422646eaf9,2638,Electronics,Month book explain feeling answer information soldier lead book toward others administration middle drop century investment pass drive indicate professor beat.,2,Neutral,0.0
85,f4124360-1153-4e99-9c50-8720f982f4e0,9288,Clothing,Name skill medical after them analysis hit health section ground attack drop.,3,Neutral,0.0
86,c5811d2d-1a89-471e-a0d5-72c8a837fe68,2127,Books,Same forward and national spend compare single let receive place specific as simply leader fall analysis current.,3,Neutral,-0.014
87,4f612217-eef1-4694-90ca-e32d0aba590e,3584,Sports,Huge spring list already positive experience television answer pretty event son join hundred keep what fund cost reality happen something.,3,Positive,0.292
88,ba220065-1526-4718-8d18-0a824447ceab,9666,Electronics,Bad own state nation fly bag produce fill owner international ready goal amount thank good your ever woman way avoid.,5,Positive,0.267
89,83599af6-5d01-455f-a7fd-64c4a334058a,5905,Electronics,Well central parent sit alone attack sing hand.,3,Neutral,0.0
90,084a6780-9136-41f8-b310-46dc6202bee6,2891,Electronics,Check last he know baby case happen fire everything whether ago control military trial brother simple region Democrat partner really your customer career available common require.,5,Neutral,0.033
91,ae92ea71-cf7d-4b43-9679-742fff4c96d6,3546,Clothing,Property remember nearly face feel church remember record company gun difference world.,5,Neutral,0.1
92,ca55e38b-3c9a-4e10-a38d-6f44cac4d0eb,4450,Clothing,Ago network hard sound necessary partner beat finally yourself rest moment shoulder statement.,3,Neutral,0.027
93,5128b9b1-f8ed-40ca-a015-6a7212e153a6,9280,Sports,Last quite general there sister policy consider whom.,1,Neutral,0.025
94,de431e06-e924-4069-80bb-ae526ec01269,2512,Sports,Story million fight class various different way million.,1,Neutral,0.0
95,4027ab7d-1430-49a9-988f-1c9448b763d5,1058,Clothing,Play nearly by field move maybe collection walk child probably result painting successful nor stay agreement animal.,2,Positive,0.425
96,43c07d43-93a7-4792-8561-b8dca4364fcd,5291,Books,Short indicate police marriage phone face what lot source rate father authority art keep machine daughter.,4,Neutral,0.0
97,dc8a4922-5005-480f-a4c7-78a59b4e164b,8007,Home,Safe team wish candidate have no five letter.,1,Positive,0.5
98,24108e9a-3f77-4cae-b318-b96d44790612,2232,Books,Anything war ten industry while total spend value return couple city.,1,Neutral,0.0
99,7faeb748-7781-421e-83c5-01cbfef7d9ea,7049,Home,Market bed hotel lead drive on any example our successful pull experience account blue care.,2,Positive,0.375
100,c38c1dec-5da3-4a73-ba3d-f7ff43b47ee5,8041,Books,Hand hundred now crime network available mean share.,3,Neutral,0.044
101,9f8cc29f-fd35-4c5f-9347-9a3b479bc637,6974,Electronics,Budget window hour some fund voice sense current meeting matter and case four listen lead paper middle.,2,Neutral,0.0
102,518b2f21-9cf2-4859-ae6e-2e7253f591dc,5088,Electronics,Hotel pattern successful order medical meeting majority none little admit.,5,Positive,0.188
103,fada98f5-1c0f-4bdc-ac7e-937c54cc1e2a,7658,Home,On someone rise read ago listen whose situation simply officer return on color pick people subject challenge quite all way body.,2,Neutral,-0.083
104,6b352f85-504e-4687-b0e7-e75604d9145e,4878,Books,Include data maybe particularly likely summer road relationship million night your long heavy what least.,2,Negative,-0.138
105,5ab28d4a-8bd8-4fcd-97a2-be4e887b03e5,7755,Electronics,Particular court east newspaper different win father eye debate.,3,Positive,0.322
106,7ad465a1-5129-450d-bd2f-4e58b47a1c5b,7745,Books,Night various return explain of myself time house generation significant chair among.,2,Positive,0.188
107,58ab4778-143b-45e3-b6d1-f6bbf48f709c,2771,Sports,Pretty section degree still even no even body scientist.,4,Positive,0.25
108,ab7a3d1c-0cfe-4683-be11-bafe3d4196fe,4644,Books,Difficult do beyond form line race case who within citizen present thing little practice sense expert experience arrive shoulder.,3,Negative,-0.229
109,88ffbd40-3b72-486d-92fa-675fa6fd0cb1,6000,Books,Tree company think compare try young however.,1,Neutral,0.1
110,bfbeac7a-efc5-4738-afb2-1e667ed17aab,4164,Sports,Theory across nothing blue work expect writer myself management voice surface life.,3,Neutral,0.0
111,54a7b69b-1cd6-4b09-8f0e-6d2b315c167a,2137,Clothing,Room possible responsibility add front far purpose cover particularly police.,5,Neutral,0.089
112,83e96ef4-6d7d-45d0-93b5-9af767ce378f,7548,Home,Beautiful protect continue cell food easy end dog send west few reveal activity.,1,Positive,0.361
113,3c7e5368-b159-4847-9c0b-9b10a757cb10,2889,Clothing,Property let civil rather type thousand.,5,Neutral,0.0
114,1e0ef546-b0b6-4edf-8f9c-4027c5144d98,5349,Electronics,Happen determine whatever long lawyer writer health reduce.,5,Neutral,-0.05
115,899ac252-c1e1-494a-b888-3058e9ad0e9b,8119,Clothing,Seven quite other skin moment month gun true born stock total dark Mr clearly take kind.,3,Positive,0.129
116,95492a82-b787-4f8d-b495-311eae27d432,8149,Home,Before member speak law message lead around left southern rich how staff second official and general as yes various.,1,Neutral,0.071
117,78d9a88a-ef0b-4a4f-bc73-7d9211ab3d11,7311,Home,Expert conference career political role white hear.,3,Neutral,0.0
118,de9f6f5b-72d3-4458-a1ea-2f30e42e707a,1727,Sports,Heart radio product much president girl condition Mr.,5,Positive,0.2
119,fa8dae42-ba54-4920-a099-d18087623997,9821,Books,Strong series without leg rest interest here discover leave choice country.,4,Positive,0.433
120,1ce362f8-c3f7-45fe-b99b-2b5ae00da49d,2146,Clothing,Special information she this administration deal beyond almost our reflect.,3,Positive,0.357
121,0b531932-bd94-49aa-bea6-e5b20c760d28,3041,Clothing,Keep music senior simply cell year doctor trouble office officer significant stand down then worry miss including.,3,Neutral,0.005
122,f2d2393f-8e85-440d-8f9a-eb7046707cd6,7691,Clothing,They treatment personal interview many win walk provide skill five indicate chance heavy senior list support feeling remain.,3,Positive,0.275
123,0ec0713d-ea2c-4a51-b688-d11fce4758be,3085,Books,Include indicate morning home effort form bad last he movie stop appear help painting always authority source onto.,4,Negative,-0.35
124,7ab99428-378e-4510-8f10-d33eabe42e7d,3851,Home,Thank four whatever address view while bring yourself look drug page daughter trip need.,3,Neutral,0.0
125,775c30b5-6173-4c48-8876-9153c68813fe,7653,Home,Possible final growth third letter sort reveal seven floor data.,3,Neutral,0.0
126,90019ed4-0bb4-41e7-a9f7-53f1501ba851,5700,Books,Scientist administration network once result far cultural discover now early nearly want.,5,Neutral,0.1
127,d253d966-c36b-4a0a-81e0-2a89566a9ce7,6279,Sports,Whom politics make collection some college result major true my politics arrive almost suggest war property share include.,4,Positive,0.206
128,116658ce-3b3f-4800-a175-a9c3d7b102a9,4501,Home,Across media health pay project pattern low maintain according necessary activity.,2,Neutral,0.0
129,892621df-4655-48b7-b8e1-9f568787ea21,2389,Clothing,Admit spend purpose south travel blood benefit chance court money spring environment however health image.,5,Neutral,0.0
130,b27e1442-fd7f-4973-be42-df5b90a3fbbf,6491,Electronics,Feel stock ball yard practice all if help live PM reflect bar suddenly population former with wind.,2,Neutral,0.045
131,0ae4ac11-eb4d-4f42-8735-70a2e5110961,6085,Books,Deep test thought little another avoid understand tonight nor allow up fire which onto sell require huge.,2,Neutral,0.071
132,905f9096-2996-46e2-8c9d-690713b22cec,3414,Electronics,Note support quality music himself science so.,2,Neutral,0.0
133,8033f5c2-1413-464d-b962-c8a7b076a7dc,8784,Home,Approach join stuff future shoulder western however similar ahead event yeah make green wait it quickly produce beat peace something.,1,Neutral,0.027
134,4499d0a6-1500-4170-92d1-5585b68e47fa,8461,Sports,Here six child hope guess before wall know seven bill beautiful issue news mention.,5,Positive,0.85
135,5a9a206a-16f1-42a2-86b9-19aa1a7167c7,4185,Sports,Behavior our foot history factor hold be top toward within occur college herself catch feeling manage as itself inside.,4,Positive,0.5
136,5c72aebd-13b1-4e59-885c-d7147bf69552,4997,Books,Want result many pattern leader career according how success here television key issue statement prepare organization.,1,Positive,0.267
137,f280df1d-9a6c-4db9-9217-1c884ce953a7,2746,Sports,Look concern huge five same plan whose site for.,2,Positive,0.2
138,64976593-c92e-4c93-9105-c8d647c1c017,9486,Sports,Box nor or nation race nearly well left.,5,Neutral,0.05
139,cc351e4f-703e-457f-b5ab-8466b5578b00,5082,Electronics,Story attorney summer some pull cause field education child institution help last our old.,2,Neutral,0.05
140,eb9ed274-ec6a-47ad-81b1-5db988cc4d49,8612,Home,Myself so growth time Mr point be shoulder price great positive and worker quality hundred sell whole involve.,5,Positive,0.409
141,38d5101f-423c-4d9d-993e-478302b34254,6198,Sports,Section newspaper reach determine hear leg quickly real character young lot far turn beat story role give gas six miss give.,5,Positive,0.133
142,b25f13df-b8d4-4848-b02b-a49f18fdd2b9,7991,Home,Five feel special boy support possible quality clearly worker during company civil nice when discussion if continue.,2,Positive,0.264
143,6544e313-6ea0-4d13-a845-54c3a3f66c61,8777,Sports,Scene third last involve above Democrat everything.,2,Neutral,0.0
144,10042d82-cbc7-4f1a-8f08-ea54b4299924,5543,Home,Big the cost for leader energy television month police others particularly only girl suddenly pay sport relationship father pass.,2,Neutral,0.0
145,502cf0ee-224a-46a6-ac0f-680115b24e1d,5499,Sports,Draw bring health center home others.,3,Neutral,-0.1
146,2f8d8ded-6c4c-450b-a23a-d0fc93267d25,4841,Clothing,Player really population yourself never majority cell fire late approach grow act carry spring white.,3,Neutral,-0.033
147,68bd075b-7eb6-481e-a72f-947d816462cb,9849,Electronics,Indeed style major bar air set factor ever Mrs collection leader score.,2,Neutral,0.062
148,82c42e48-8cba-4ae5-becc-daf4c4134dc2,4788,Sports,Of environmental myself yard my series service kid despite interesting save president easy themselves.,2,Positive,0.467
149,593c572b-4347-4bca-b321-a8b20840405a,4505,Electronics,Keep yes simply down specific onto go represent plan.,4,Neutral,-0.078
150,c8ebe27a-23a4-470e-9dbc-15c02a7dc57c,6421,Home,Spend south now mother others collection without fall of weight method too.,4,Neutral,0.0
151,f67839b2-22b5-4457-9860-ad28d0afb235,2020,Books,Try yeah term camera tend economic represent stock seven put majority officer environmental increase later.,4,Neutral,0.1
152,c4d598f7-e14f-4093-8b6a-d0c7a2356dd4,1320,Home,Idea seek reason theory lawyer maintain old than suggest.,4,Neutral,0.1
153,755cee2a-f8de-4777-bb1e-5ae817d821b8,1096,Clothing,Sure somebody huge why station manager follow exist natural candidate system small.,4,Positive,0.187
154,0c648ca2-c323-4466-aebb-b90ee4e751de,7865,Home,Between six least buy tax kid a when dark read car practice.,5,Negative,-0.225
155,e0688849-eec7-4a30-9fda-35b228b2bf21,4613,Sports,Behavior growth bar professor power appear personal rise sense investment.,3,Neutral,0.0
156,00473139-185d-4528-b425-8e191758d47e,8140,Sports,Live car difficult quite act receive.,4,Negative,-0.182
157,dc3f42e0-fcf7-4842-9edf-3bfad12e0eb5,6507,Sports,Really local director become south billion happen federal him spend themselves political quality attention none particular clearly goal defense security turn.,2,Neutral,0.067
158,dc268108-7140-41a1-afc2-ccfc9db7284b,8657,Books,Beautiful beyond sell operation himself white fire cause everybody base network outside parent single.,5,Neutral,-0.004
159,d8d994b8-d90f-44e9-86dd-f6cab0c30a59,1441,Sports,Day parent country hot position six soldier dream history drop point audience thousand activity guess first.,5,Positive,0.25
160,91816091-d6c6-445c-9c5e-4e786307d4d1,1444,Electronics,Half raise several west side admit attack energy always art smile media pick may indeed reduce bar Mr pattern everyone.,4,Neutral,0.044
161,ebc1bb52-82e4-4d4a-943a-c1c54f560ed5,3223,Sports,Window choice force only shake power poor financial.,1,Negative,-0.133
162,d8b22277-f413-4b19-bade-8d5d6fff15cc,5262,Sports,Around beat its law participant finally score scientist budget remain reduce.,2,Neutral,0.0
163,58c1aad6-f3f8-4ea4-bf14-eafa29f0ef7c,8449,Clothing,Military state else head seek them run brother tonight friend investment model enjoy window physical many.,4,Positive,0.2
164,7fe670f3-0e31-41ec-9c31-146482c299f0,5558,Sports,Cold church significant thus purpose boy scientist able teach activity animal hair turn condition whether.,1,Neutral,0.092
165,e9f87970-cd98-49e2-8d88-8beb090d9655,8705,Electronics,Different eat trouble floor step number budget pull apply development middle animal husband theory tend similar financial beat lead hard factor.,5,Neutral,-0.082
166,9f6a6a65-bd54-4a04-8dcd-0009c8d57717,1853,Clothing,Less option management significant crime too set early according improve.,1,Positive,0.103
167,a2cd1590-58af-493c-8aa2-b4c93ba5bd76,1659,Electronics,Week ability price support road billion.,2,Neutral,0.0
168,6b790d01-3cf8-4d20-bbad-793f87a1ec02,1333,Home,Which win central evidence analysis discuss suddenly including time learn security oil.,2,Positive,0.267
169,d1e91691-a320-4116-a22d-f6a48163b6ce,3068,Sports,Avoid nothing itself who door end fire song red save fish evening avoid dark sister once choice clearly letter.,1,Neutral,-0.017
170,5bb8b9c8-8932-49f3-9ee8-9a4c681134e2,4571,Sports,Later leg system bed space fight relate owner Democrat task chance represent why how any federal.,3,Neutral,0.0
171,07f4fee5-2c82-489f-bd9c-fbb0d1f16485,7043,Books,Take new nearly behind big soldier building article sit develop cup hundred rather visit base only true avoid.,5,Negative,-0.119
172,e709fba6-329f-4417-9081-3d45ff45f8a2,2876,Books,Speak begin suggest speak business walk anything under item right many him interview.,1,Positive,0.393
173,2fe922aa-e886-4011-b6f7-a26c5a9c0679,1420,Clothing,Evidence third alone people early far include nearly article evidence case current this moment piece soon.,4,Neutral,0.06
174,61eb64e6-fd49-4e20-84ff-eab2cb7b0b3a,7498,Books,Look sit general not focus establish ago others ahead.,5,Neutral,0.05
175,0effd5bd-47eb-440d-874e-48ffcf89569d,4978,Electronics,Morning short yourself wind beyond prevent entire staff true argue you detail suffer something great stuff suddenly compare or south recently trial.,3,Positive,0.192
176,5a07d758-b357-43f9-b415-7cea07388ba4,2983,Home,Nor none could write think man finally make bed discussion despite money a truth cut candidate response try such food against only true similar suffer team.,1,Neutral,0.07
177,b45c9a54-5fa3-4531-9291-6e60f5e72daf,6688,Home,Only from follow wish run join police maintain fish religious no threat party ground program.,3,Neutral,0.0
178,4e8bf78a-60dd-47f1-ace3-d822d08012b8,2129,Home,Camera rock we we hot yes whole allow own TV whose determine not view cell seat draw.,3,Positive,0.35
179,a2dd22d5-2afa-4b7b-91cb-f9e5fb7d3ba1,1207,Sports,Start prove role from activity decide really go skin result.,1,Positive,0.2
180,bb8aa843-702f-41e5-a2cc-c6040c53644b,8102,Clothing,Why this manage her national big look tell prepare reach class available suffer far five weight avoid color heart rule.,4,Positive,0.167
181,fa60ede1-e5eb-472d-b11c-0ac58c0b393a,3506,Sports,Full world throw relate issue president parent.,5,Positive,0.35
182,19ec0829-0db5-4441-a837-f4186f27c1b9,5425,Home,Day couple recent reveal role enter example down anyone occur style child guess into far product outside current agent color.,5,Neutral,-0.011
183,793bed1b-14f9-4394-ba20-74034ab427e3,8921,Sports,Final however major produce before name continue those hard knowledge.,5,Neutral,-0.076
184,436e3c49-770e-49db-b092-d40143675d58,5397,Clothing,Student nor character recent benefit property space including series.,1,Neutral,0.0
185,d73e7bb9-0f9c-417b-8db8-dadf3a3e46b0,5569,Sports,Stand industry movement term little think live bad total research maybe.,4,Negative,-0.188
186,924cde09-ccea-4031-844e-250be684390c,7209,Clothing,Challenge we last we cold deep cover amount bad raise dark.,4,Negative,-0.29
187,d5881c1c-25db-4946-a091-e5b4d2938e6e,6325,Books,Election treat trial attack hold however for everybody leader them skill performance mission information increase challenge onto serve vote understand.,2,Neutral,0.0
188,c926a021-19da-4262-8790-3dc5900c0af7,6813,Clothing,Test they there enough pressure occur list common idea peace race I.,3,Negative,-0.15
189,54dccba5-e103-4e1c-a3bb-22ae6552ac53,5526,Home,Any little environmental head full soldier financial.,5,Neutral,0.054
190,b23909f4-dbb5-4645-bdda-c1b6d7c4caed,4130,Electronics,Win direction feel season similar fly rock.,4,Positive,0.533
